"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mG","sisarukset",,"male ego's sibling",,,"Vesakoski2017","used commonly in plural"
"fG","sisarukset",,"female ego's sibling",,,"Vesakoski2017","used commonly in plural"
"mB","veli",,"male ego's brother",,,"Vesakoski2017",""
"fB","veli",,"female ego's brother",,,"Vesakoski2017",""
"mZ","sisko",,"male ego's sister",,,"Vesakoski2017",""
"fZ","sisko",,"female ego's sister",,,"Vesakoski2017",""
"meB","veli",,"male ego's older brother",,,"Vesakoski2017",""
"myB","veli",,"male ego's younger brother",,,"Vesakoski2017",""
"feB","veli",,"female ego's older brother",,,"Vesakoski2017",""
"fyB","veli",,"female ego's younger brother",,,"Vesakoski2017",""
"meZ","sisko",,"male ego's older sister",,,"Vesakoski2017",""
"myZ","sisko",,"male ego's younger sister",,,"Vesakoski2017",""
"feZ","sisko",,"female ego's older sister",,,"Vesakoski2017",""
"fyZ","sisko",,"female ego's younger sister",,,"Vesakoski2017",""
"mP","vanhemmat",,"male ego's parents",,,"Vesakoski2017","used commonly in plural"
"fP","vanhemmat",,"female ego's parents",,,"Vesakoski2017","used commonly in plural"
"mF","isä",,"male ego's father",,,"Vesakoski2017",""
"mM","äiti",,"male ego's mother",,,"Vesakoski2017",""
"fF","isä",,"female ego's father",,,"Vesakoski2017",""
"fM","äiti",,"female ego's mother",,,"Vesakoski2017",""
"mC","lapsi",,"male ego's child",,,"Vesakoski2017",""
"fC","lapsi",,"female ego's child",,,"Vesakoski2017",""
"mS","poika",,"male ego's son",,,"Vesakoski2017",""
"fS","poika",,"female ego's son",,,"Vesakoski2017",""
"mD","tytär",,"male ego's daughter",,,"Vesakoski2017",""
"fD","tytär",,"female ego's daughter",,,"Vesakoski2017",""
"mCC","lapsenlapsi",,"male ego's grandchild",,,"Vesakoski2017",""
"fCC","lapsenlapsi",,"female ego's grandchild",,,"Vesakoski2017",""
"mSS","pojanpoika",,"male ego's son's son",,,"Vesakoski2017",""
"mSD","pojantytär",,"male ego's son's daughter",,,"Vesakoski2017",""
"mDS","tyttärenpoika",,"male ego's daughter's son",,,"Vesakoski2017",""
"mDD","tyttärentytär",,"male ego's daughter's daughter",,,"Vesakoski2017",""
"fSS","pojanpoika",,"female ego's son's son",,,"Vesakoski2017",""
"fSD","pojantytär",,"female ego's son's daughter",,,"Vesakoski2017",""
"fDS","tyttärenpoika",,"female ego's daughter's son",,,"Vesakoski2017",""
"fDD","tyttärentytär",,"female ego's daugher's daughter",,,"Vesakoski2017",""
"mA","esi-isä",,"male ego's ancestor",,,"Vesakoski2017",""
"fA","esi-isä",,"female ego's ancestor",,,"Vesakoski2017",""
"mPP","isovanhempi",,"male ego's grandparent",,,"Vesakoski2017",""
"fPP","isovanhempi",,"female ego's grandparent",,,"Vesakoski2017",""
"mFF","isänisä",,"male ego's father‘s father",,,"Vesakoski2017","grandparents usually decide themselves how they should be called: male can be e.g. isoisä, pappa, ukki or vaari."
"mFM","isänäiti",,"male ego's father's mother",,,"Vesakoski2017","same for females, alternatives: eg. mummu,  mummi, mummo, isu"
"mMF","äidinisä",,"male ego's mother's father",,,"Vesakoski2017",""
"mMM","äidinäiti",,"male ego's mother's mother",,,"Vesakoski2017",""
"fFF","isänisä",,"female ego's father's father",,,"Vesakoski2017",""
"fFM","isänäiti",,"female ego's father's mother",,,"Vesakoski2017",""
"fMF","äidinisä",,"female ego's mother's father",,,"Vesakoski2017",""
"fMM","äidinäiti",,"female ego's mother's mother",,,"Vesakoski2017",""
"meBS","veljenpoika",,"male ego's older brother's son",,,"Vesakoski2017","poika=boy"
"myBS","veljenpoika",,"male ego's younger brother's son",,,"Vesakoski2017","tytär=daughter"
"meZS","siskonpoika",,"male ego's older sister's son",,,"Vesakoski2017","veli=brother"
"myZS","siskonpoika",,"male ego's younger sister's son",,,"Vesakoski2017","sisko=sister"
"meBD","veljentytär",,"male ego's older brother's daughter",,,"Vesakoski2017","serkku=cousin"
"myBD","veljentytär",,"male ego's younger brother's daughter",,,"Vesakoski2017",""
"meZD","siskontytär",,"male ego's older sister's daughter",,,"Vesakoski2017",""
"myZD","siskontytär",,"male ego's younger sister's daughter",,,"Vesakoski2017","tyttö, tytär"
"feBS","veljenpoika",,"female ego's older brother's son",,,"Vesakoski2017",""
"fyBS","veljenpoika",,"female ego's younger brother's son",,,"Vesakoski2017",""
"feZS","siskonpoika",,"female ego's older sister's son",,,"Vesakoski2017",""
"fyZS","siskonpoika",,"female ego's younger sister's son",,,"Vesakoski2017",""
"feBD","veljentytär",,"female ego's older brother's daughter",,,"Vesakoski2017",""
"fyBD","veljentytär",,"female ego's younger brother's daughter",,,"Vesakoski2017",""
"feZD","siskontytär",,"female ego's older sister's daughter",,,"Vesakoski2017",""
"fyZD","siskontytär",,"female ego's younger sister's daughter",,,"Vesakoski2017",""
"mFeB","setä",,"male ego's father's older brother",,,"Vesakoski2017",""
"mFyB","setä",,"male ego's father's younger brother",,,"Vesakoski2017",""
"mFeZ","täti",,"male ego's father's older sister",,,"Vesakoski2017",""
"mFyZ","täti",,"male ego's father's younger sister",,,"Vesakoski2017",""
"mMeB","eno",,"male ego's mother's older brother",,,"Vesakoski2017",""
"mMyB","eno",,"male ego's mother's younger brother",,,"Vesakoski2017",""
"mMeZ","täti",,"male ego's mother's older sister",,,"Vesakoski2017",""
"mMyZ","täti",,"male ego's mother's younger sister",,,"Vesakoski2017",""
"fFeB","setä",,"female ego's father's older brother",,,"Vesakoski2017",""
"fFyB","setä",,"female ego's father's younger brother",,,"Vesakoski2017",""
"fFeZ","täti",,"female ego's father's older sister",,,"Vesakoski2017",""
"fFyZ","täti",,"female ego's father's younger sister",,,"Vesakoski2017",""
"fMeB","eno",,"female ego's mother's older brother",,,"Vesakoski2017",""
"fMyB","eno",,"female ego's mother's younger brother",,,"Vesakoski2017",""
"fMeZ","täti",,"female ego's mother's older sister",,,"Vesakoski2017",""
"fMyZ","täti",,"female ego's mother's younger sister",,,"Vesakoski2017",""
"mE","puoliso",,"male ego's spouse",,,"Vesakoski2017",""
"fE","puoliso",,"female ego's spouse",,,"Vesakoski2017",""
"mW","vaimo",,"male ego's wife",,,"Vesakoski2017",""
"fH","aviomies",,"female ego‘s husband",,,"Vesakoski2017",""
"mDH","vävy",,"male ego's daughter's husband",,,"Vesakoski2017",""
"fDH","vävy",,"female ego's daughter's husband",,,"Vesakoski2017",""
"mSW","miniä",,"male ego's son's wife",,,"Vesakoski2017",""
"fSW","miniä",,"female ego's son's wife",,,"Vesakoski2017",""
"mWF","appi",,"male ego's wife's father",,,"Vesakoski2017",""
"mWM","anoppi",,"male ego's wife's mother",,,"Vesakoski2017",""
